Grade,Source/Destination,All,Lpd,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Session,Lot_ID,Date,Time
Rejected,1/22-1/22,187,116,3,5,2,13,4,10,3,10,ZZBARESI_HT,LONG TEST,20221013,1657
Rejected,1/16-1/16,166,58,4,5,6,2,4,1,1,5,ZZBARESI_HT,LONG TEST,20221013,1657
Rejected,1/10-1/10,299,124,10,7,8,7,4,6,6,13,ZZBARESI_HT,LONG TEST,20221013,1657
Rejected,1/5-1/5,67,35,4,2,3,3,1,3,0,3,ZZBARESI_HT,LONG TEST,20221013,1657
